incorrect_sentence,correct_sentence
මම යන්නෙමු,මම යන්නෙමි
මම යන්නෙමුවා,මම යන්නෙමි
මම යන්නෙහි,මම යන්නෙමි
මම යන්නෙහිවා,මම යන්නෙමි
මම යන්නේය,මම යන්නෙමි
මම යන්නෝය,මම යන්නෙමි
මම යමු,මම යමි
මම යමුවා,මම යමි
මම යයි,මම යමි
මම යව,මම යමි
මම යවති,මම යමි
මම යවන්නීය,මම යමි
මම යවන්නෙමු,මම යවන්නෙමි
මම යවන්නෙහි,මම යවන්නෙමි
මම යවන්නෙහු,මම යවන්නෙමි
මම යවන්නේය,මම යවන්නෙමි
මම යවන්නෝය,මම යවන්නෙමි
මම යවමු,මම යවමි
මම යවයි,මම යවමි
මම යවහි,මම යවමි
මම යවහු,මම යවමි
මම යවු,මම යවමි
මම යහි,මම යවමි
මම යහිවා,මම යවමි
මම යහු,මම යවමි
මම යහුවා,මම යවමි
මම යනලදී,මම යවමි
මම ගියෙමු,මම ගියෙමි
මම ගියෙහි,මම ගියෙමි
මම ගියෙහු,මම ගියෙමි
මම ගියාය,මම ගියෙමි
මම ගියේය,මම ගියෙමි
මම ගියෝය,මම ගියෙමි
මම යැවේ,මම ගියෙමි
මම යැවෙමු,මම යැවෙමි
මම යැවෙහි,මම යැවෙමි
මම යැවෙහු,මම යැවෙමි
මම යැවෙයි,මම යැවෙමි
මම යැවෙති,මම යැවෙමි
මම යැවවෙයි,මම යැවෙමි
මම යැවවෙති,මම යැවෙමි
මම යැවවේ,මම යැවෙමි
අපි යති,මම යැවෙමි
අපි යත්වා,මම යැවෙමි
අපි යනවා,මම යැවෙමි
අපි යනවාලා,මම යැවෙමි
අපි යනු,මම යැවෙමි
අපි යන්න,මම යැවෙමි
අපි යන්නීය,මම යැවෙමි
අපි යන්නෙමි,මම යැවෙමි
අපි යන්නෙමිවා,මම යැවෙමි
අපි යන්නෙහි,අපි යන්නෙමු
අපි යන්නෙහිවා,අපි යන්නෙමු
අපි යන්නේය,අපි යන්නෙමු
අපි යන්නෝය,අපි යන්නෙමු
අපි යමි,අපි යන්නෙමු
අපි යමිවා,අපි යන්නෙමු
අපි යයි,අපි යමු
අපි යව,අපි යමු
අපි යවති,අපි යමු
අපි යවන්නීය,අපි යමු
අපි යවන්නෙමි,අපි යමු
අපි යවන්නෙහි,අපි යවන්නෙමු
අපි යවන්නෙහු,අපි යවන්නෙමු
අපි යවන්නේය,අපි යවන්නෙමු
අපි යවන්නෝය,අපි යවන්නෙමු
අපි යවමි,අපි යවන්නෙමු
අපි යවයි,අපි යවමු
අපි යවහි,අපි යවමු
අපි යවහු,අපි යවමු
අපි යවු,අපි යවමු
අපි යහි,අපි යවමු
අපි යහිවා,අපි යවමු
අපි යහු,අපි යවමු
අපි යහුවා,අපි යවමු
අපි යනලදී,අපි යවමු
අපි ගියෙමි,අපි යවමු
අපි ගියෙහි,අපි ගියෙමු
අපි ගියෙහු,අපි ගියෙමු
අපි ගියාය,අපි ගියෙමු
